City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ribeira grande,38.5167,-28.7,19.32,88,75,10.28,PT,1736874146
1,puerto natales,-51.7236,-72.4875,15.25,41,75,11.83,CL,1736874147
2,olonkinbyen,70.9221,-8.7187,-1.08,98,100,7.45,SJ,1736874149
3,chibougamau,49.9168,-74.3659,-14.21,85,100,4.12,CA,1736874150
4,veinticinco de mayo,-35.4323,-60.1727,37.61,13,3,4.51,AR,1736874152
5,college,64.8569,-147.8028,-11.44,98,100,0.42,US,1736874153
6,namsos,64.4662,11.4957,2.95,93,75,1.03,NO,1736874154
7,adamstown,-25.066,-130.1015,23.52,86,100,9.75,PN,1736874157
8,grytviken,-54.2811,-36.5092,7.95,52,4,4.78,GS,1736874084
9,terrace,54.5163,-128.6035,4.95,100,100,8.23,CA,1736874160
10,nova sintra,14.8667,-24.7167,23.5,70,2,6.73,CV,1736874161
11,saipan,15.1355,145.701,28.39,80,75,9.26,MP,1736873977
12,port mathurin,-19.6833,63.4167,26.39,76,8,7.98,MU,1736874164
13,waitangi,-43.9535,-176.5597,12.68,99,8,2.68,NZ,1736874165
14,stanley,54.868,-1.6985,8.01,87,40,6.17,GB,1736874167
15,coyhaique,-45.5752,-72.0662,14.8,57,72,4.81,CL,1736874009
16,kavaratti,10.5669,72.642,28.08,73,75,2.05,IN,1736874170
17,port-aux-francais,-49.35,70.2167,5.43,82,94,21.6,TF,1736874172
18,bredasdorp,-34.5322,20.0403,16.64,63,87,7.25,ZA,1736874173
19,lebu,-37.6167,-73.65,18.08,56,72,3.8,CL,1736874174
20,isafjordur,66.0755,-23.124,2.02,93,100,0.0,IS,1736874176
21,sisimiut,66.9395,-53.6735,-22.23,82,26,3.47,GL,1736874178
22,yuzhno-kurilsk,44.0306,145.8556,-1.36,71,100,3.6,RU,1736874179
23,wailua homesteads,22.0669,-159.378,21.32,85,5,4.01,US,1736874180
24,hawaiian paradise park,19.5933,-154.9731,20.5,99,0,0.58,US,1736874182
25,limulunga,-15.0969,23.1376,21.51,91,100,2.79,ZM,1736874183
26,kodiak,57.79,-152.4072,0.52,73,68,3.48,US,1736874184
27,mahina,-17.5065,-149.489,23.87,88,75,3.09,PF,1736874186
28,blackmans bay,-43.0167,147.3167,16.07,95,100,3.77,AU,1736874187
29,anadyr,64.75,177.4833,-25.72,76,0,3.0,RU,1736874188
30,haiku-pauwela,20.9219,-156.3051,21.81,86,14,5.36,US,1736874190
31,kuytun,54.3419,101.5036,-6.96,70,100,4.03,RU,1736874191
32,riversdale,18.1659,-76.9642,30.03,58,86,2.65,JM,1736874193
33,olds,51.7834,-114.102,-3.13,77,36,4.13,CA,1736874194
34,bethel,41.3712,-73.414,-0.26,45,3,3.58,US,1736874195
35,yellowknife,62.456,-114.3525,-8.66,99,100,5.66,CA,1736874197
36,whitehorse,60.7161,-135.0538,-0.57,100,75,7.72,CA,1736874153
37,drayton valley,53.2168,-114.9854,-2.74,80,81,4.53,CA,1736874201
38,presidente dutra,-5.29,-44.49,22.87,95,100,1.4,BR,1736874194
39,isangel,-19.55,169.2667,24.67,82,48,2.67,VU,1736874205
40,bubaque,11.2833,-15.8333,26.26,59,49,5.87,GW,1736874206
41,hamilton,39.1834,-84.5333,-2.91,63,37,2.24,US,1736874057
42,hadibu,12.65,54.0333,23.03,73,8,7.81,YE,1736874133
43,aberdeen,57.1437,-2.0981,8.27,86,98,2.06,GB,1736874004
44,kitimat,54.0524,-128.6534,6.5,28,100,1.82,CA,1736874211
45,priob'ye,62.5206,65.5964,-9.22,93,95,3.88,RU,1736874212
46,marsabit,2.3284,37.9899,24.15,23,82,7.31,KE,1736874214
47,antonio enes,-16.2325,39.9086,25.62,85,100,2.88,MZ,1736874133
48,tazovsky,67.4667,78.7,-18.28,98,40,3.69,RU,1736874217
49,bilibino,68.0546,166.4372,-24.31,98,100,0.75,RU,1736874218
50,ibi,38.6253,-0.5723,7.73,59,0,2.04,ES,1736874220
51,namdrik,5.5994,168.1028,27.05,80,32,9.89,MH,1736874221
52,atafu village,-8.5421,-172.5159,27.87,75,86,6.74,TK,1736874222
53,longyearbyen,78.2186,15.6401,-9.09,73,75,8.75,SJ,1736874223
54,luderitz,-26.6481,15.1594,19.91,67,0,11.75,NA,1736874224
55,almus,40.3758,36.9044,4.49,96,100,1.35,TR,1736874226
56,edinburgh of the seven seas,-37.0676,-12.3116,16.84,96,100,7.74,SH,1736874227
57,tadine,-21.55,167.8833,22.2,93,85,4.43,NC,1736874229
